('90 mm - 15 Hz_Media_movil_5', '.csv'),40.586,40.67454271,0.82030996

('15 Hz - 110 mm_Media_movil_3', '.csv'),53.141666666666666,53.148760683760685,1.763024843020255,
('15 Hz - 130 mm_Media_movil_3', '.csv'),60.79333333333334,60.5374358974359,1.7119536381529898,
('15 Hz - 150 mm_Media_movil_3', '.csv'),66.83666666666667,66.75790598290598,1.7389512778112997,
('15 Hz - 170 mm_Media_movil_3', '.csv'),72.06666666666666,72.07158119658119,1.8024968832830237,
('15 Hz - 190 mm_Media_movil_3', '.csv'),79.315,79.2631623931624,1.6191704980369126,
('15 Hz - 210 mm_Media_movil_3', '.csv'),86.36,86.21405982905983,1.5703836947558234,
('15 Hz - 230 mm_Media_movil_3', '.csv'),90.18999999999997,90.32400843881857,1.8303858497328456,
('15 Hz - 250 mm_Media_movil_3', '.csv'),92.60666666666668,93.01523809523809,2.308840968222226,
('15 Hz - 270 mm_Media_movil_3', '.csv'),95.215,95.06111111111112,2.082058426645922,
('15 Hz - 290 mm_Media_movil_3', '.csv'),95.01666666666665,94.78350427350428,1.7807485736805997,
('15 Hz - 310 mm_Media_movil_3', '.csv'),93.00666666666667,93.2743722943723,2.3672988567388424,
('15 Hz - 90 mm_Media_movil_3', '.csv'),45.89666666666667,46.15616033755274,1.4531300422987694,
('15 Hz - 110 mm_Media_movil_4', '.csv'),52.237500000000004,52.25423076923077,1.6671160799344542,
('15 Hz - 130 mm_Media_movil_4', '.csv'),59.78875,59.48298076923077,1.5798727990929162,
('15 Hz - 150 mm_Media_movil_4', '.csv'),65.98,65.96032051282052,1.6159818373158767,
('15 Hz - 170 mm_Media_movil_4', '.csv'),71.26124999999999,71.06772435897436,1.6666038444495435,
('15 Hz - 190 mm_Media_movil_4', '.csv'),78.35875,78.39698717948718,1.6314271677674137,
('15 Hz - 210 mm_Media_movil_4', '.csv'),85.4525,85.18945512820513,1.4821300072362031,
('15 Hz - 230 mm_Media_movil_4', '.csv'),89.38,89.34214743589743,1.843104194595683,
('15 Hz - 250 mm_Media_movil_4', '.csv'),91.79499999999999,91.95334415584415,2.0207673279757095,
('15 Hz - 270 mm_Media_movil_4', '.csv'),93.9075,93.87676282051282,2.0019073741244244,
('15 Hz - 290 mm_Media_movil_4', '.csv'),93.9075,93.6760576923077,1.6547199570437163,
('15 Hz - 310 mm_Media_movil_4', '.csv'),92.0975,92.29636363636364,2.356541516430441,
('15 Hz - 90 mm_Media_movil_4', '.csv'),44.69125,45.00570512820513,1.3890979097351281,
('15 Hz - 110 mm_Media_movil_5', '.csv'),51.452,51.42864102564103,1.6253659246287868,
('15 Hz - 130 mm_Media_movil_5', '.csv'),58.941,58.58979487179487,1.5205184894819526,
('15 Hz - 150 mm_Media_movil_5', '.csv'),65.466,65.37938461538462,1.5176721856635793,
('15 Hz - 170 mm_Media_movil_5', '.csv'),70.535,70.36058974358974,1.556517862241823,
('15 Hz - 190 mm_Media_movil_5', '.csv'),77.54400000000001,77.66056410256411,1.468443115734888,
('15 Hz - 210 mm_Media_movil_5', '.csv'),84.668,84.42010256410256,1.4725661988933494,
('15 Hz - 230 mm_Media_movil_5', '.csv'),88.41400000000002,88.51638461538462,1.64018095478382,
('15 Hz - 250 mm_Media_movil_5', '.csv'),91.07000000000001,91.29735064935065,1.992116896843747,
('15 Hz - 270 mm_Media_movil_5', '.csv'),93.244,93.14712820512821,1.8651460884879598,
('15 Hz - 290 mm_Media_movil_5', '.csv'),93.00200000000001,92.87220512820512,1.6137333850098767,
('15 Hz - 310 mm_Media_movil_5', '.csv'),91.31,91.41781818181818,2.3630970352666716,
('15 Hz - 90 mm_Media_movil_5', '.csv'),44.204,44.21148717948718,1.3260256970300948,
